session,depth,time,url,host,title
2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1,1790324573224,https://ela.kpi.ua/server/api/core/bitstreams/bcbb623b-0f31-455a-a877-615a924838d0/content#9#3,ela.kpi.ua," Цивільна інфраструктура: дрони для патрулювання периметрів, пожежний моніторинг, охорона;"
2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1,1790324573224,https://www.mdpi.com/1424-8220/26/17/5421/pdf?version=1787830770&_x_output_type_b6db407c4_=embedded_pdf#4#1,mdpi.com,Improved Fusion of Optical Flow and Dead Reckoning for UAV Navigation Using Digital Terrain Models and Data-Driven Velocity Corr...
2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1,1790324573224,https://yueluyan.cn.ardupilot.org/blimp/docs/common-non-gps-navigation-landing-page.html#persistent-origin-storage,yueluyan.cn.ardupilot.org,Non-GPS Navigation¶
2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1,1790324573224,https://droneth.or.th/en/drone-no-gps-jetson-orin-nano/#1,droneth.or.th,GPS-Free Drone Powered by NVIDIA Jetson Orin Nano - GPS-Free Drone Powered by NVIDIA Jetson Orin Nano
2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1,1790324573224,https://biblus.us.es/bibing/proyectos/abreproy/94479/fichero/TFG-4479+Espigado+Delgado.pdf#14#6,biblus.us.es,<center>Figura 2.8 ORBSLAM3 en uso
2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1,1790324573224,https://www.mdpi.com/search?q=flight+experiments#5,mdpi.com,"Search Results (2,034) - 20 pages, 1031 KB"
2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1,1790324573225,https://www.nvidia.com/en-in/autonomous-machines/embedded-systems/jetson-orin/nano-super-developer-kit/?trk=article-ssr-frontend-pulse_little-text-block#1,nvidia.com,Jetson Orin Nano Super Developer Kit
2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1,1790324573225,https://hailo.ai/ja/blog/plug-and-play-ai-hailo-frigate-and-home-assistant-integration/#The_WOW,hailo.ai,"Plug-and-Play AI: Hailo, Frigate, and Home Assistant Integration | Hailo"
2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1,1790324573225,https://files.seeedstudio.com/Bazaar/product_pdf/102110460.pdf#1#1,files.seeedstudio.com,seed studio
2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1,1790324573225,https://www.qualcomm.com/content/dam/qcomm-martech/dm-assets/documents/QVIC2023-HW-platforms.pdf#1#1,qualcomm.com,Qualcomm® Robotics RB5 Development Kit
2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1,1790324573225,https://www.nvidia.com/ko-kr/autonomous-machines/embedded-systems/jetson-orin/nano-super-developer-kit/#1,nvidia.com,Jetson Orin Nano Super 개발자 키트 - Jetson Orin Nano Super 개발자 키트
2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1,1790324573225,https://hailo.ai/blog/plug-and-play-ai-hailo-frigate-and-home-assistant-integration/,hailo.ai,Home Assistant AI Integration: Frigate NVR Powered by Hailo Chips
2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1,1790324573225,https://www.hwupgrade.it/forum/archive/index.php/t-3036302.html,hwupgrade.it,[MC+sped] Google Coral M.2 Accelerator A+E Key (Edge TPU) - Frigate AI [Archivio]
2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1,1790324573225,http://cdn.lantronix.com/wp-content/uploads/pdf/MPB-00118-RevB-Open-Q-5165RB-A4zh-Hant.pdf#1#1,cdn.lantronix.com,Open-Q™ 5165RB SOM（系統級模組）
